task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #10,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.010626458562910557,4.2727697207049815e-09,4.0522398610055634e-07,360.0,0.0,10.0,1.0559466667473346e-06,0.0,2.9241153970360696e-08,1.085187820717672e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #10,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.02097749151289463,8.348776420467366e-09,4.011007827345241e-07,360.0,0.0,10.0,2.0631685853004475e-06,0.0,5.7233655307855674e-08,2.120402240608294e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #10,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0033995844423770905,2.6753300865451365e-09,7.785713684991671e-07,360.0,0.0,10.0,6.611574441194544e-07,0.0,1.8316484056413214e-08,6.794739281758765e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #11,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.010766380466520786,6.173740227027246e-09,5.7797255902575e-07,360.0,196.2559171355843,10.0,9.965057484805589e-07,5.43889324688962e-07,2.7596684069269293e-08,1.567991757238786e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #11,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.02101409249007702,8.409297537098667e-09,4.032812732992901e-07,360.0,0.0,10.0,2.0781239494681373e-06,0.0,5.764929939889226e-08,2.1357732488670148e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #11,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0030594291165471077,1.2276114144338266e-09,3.9994141661482746e-07,360.0,0.0,10.0,3.0340878292917843e-07,0.0,8.377024076051148e-09,3.117858070052313e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #12,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.01042268518358469,4.115839539634374e-09,3.974416326373843e-07,360.0,0.0,10.0,1.017155125737187e-06,0.0,2.8175943427615774e-08,1.0453310691648139e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #12,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0210026316344738,1.430764942846592e-08,6.855306937048219e-07,360.0,263.50212255511457,10.0,2.064605616033084e-06,1.5119456548973176e-06,5.727126521782735e-08,3.633822536148226e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #12,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0025491612032055855,1.0041532389047951e-09,3.971054760185133e-07,360.0,0.0,10.0,2.4818899109960006e-07,0.0,6.843443649510604e-09,2.5503243474911744e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #13,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.011324829421937466,4.155802321869844e-09,3.68563075992437e-07,360.0,0.0,10.0,1.0270562954246907e-06,0.0,2.842442546453743e-08,1.0554807208892252e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #13,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.020765499211847782,1.3255899861549663e-08,6.416724824600881e-07,360.0,215.68045918630213,10.0,2.069028746336688e-06,1.2402787668008841e-06,5.739418686264075e-08,3.3667017000002237e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #13,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0027717631310224533,1.0856144904810885e-09,3.991651738829521e-07,360.0,0.0,10.0,2.683193422853812e-07,0.0,7.402426045801863e-09,2.7572176833118474e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #14,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.014054182916879654,4.1569249782557325e-09,2.974302981239365e-07,360.0,0.0,10.0,1.027299370616664e-06,0.0,2.8466479852795606e-08,1.0557658504694635e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #14,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.02089133020490408,8.607299619642418e-09,4.113300240352714e-07,360.0,0.0,10.0,2.1270587109029353e-06,0.0,5.900263268914474e-08,2.186061343592067e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
