task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #21,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04274088516831398,2.5045225300664634e-08,5.844692639605894e-07,360.0,162.76330133752035,10.0,4.29797098040581e-06,1.9436126663663345e-06,1.1934269374857345e-07,6.360926340520716e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #22,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04365503042936325,1.7846488121811633e-08,4.0837774140316197e-07,360.0,0.0,10.0,4.410152789205326e-06,0.0,1.2245552303890402e-07,4.532608312244208e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #23,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.051504855044186115,2.0913880832562593e-08,4.0485593559047234e-07,360.0,0.0,10.0,5.168144870549451e-06,0.0,1.4351249620732317e-07,5.311657366756763e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #24,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04580181464552879,1.8869632125934316e-08,4.058201429259613e-07,360.0,0.0,10.0,4.662981815636147e-06,0.0,1.2948216042584822e-07,4.7924639760619885e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #25,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.03985420148819685,1.626301928306492e-08,4.064299512251329e-07,360.0,0.0,10.0,4.018854536116132e-06,0.0,1.1158815274635983e-07,4.1304426888624855e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #26,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.044423783197999,2.5259524882483522e-08,5.662833475931283e-07,360.0,145.69574857211788,10.0,4.478225857019427e-06,1.81277922806089e-06,1.2434855000012447e-07,6.415353635080433e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #27,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04437055252492428,1.8057786077687063e-08,4.060149905719002e-07,360.0,0.0,10.0,4.462366551160815e-06,0.0,1.2390670987466938e-07,4.58627326103549e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #28,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04105230048298836,1.6928224014478966e-08,4.113566659266401e-07,360.0,0.0,10.0,4.183228313922886e-06,0.0,1.1616147951119494e-07,4.299389793434083e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #29,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.0422755591571331,2.5517817656820954e-08,6.010724642393133e-07,360.0,177.45725121713346,10.0,4.2615143582224965e-06,2.1011127913084238e-06,1.1832706578489844e-07,6.480954215315818e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #30,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.03921112045645714,1.59464549544924e-08,4.038934652610413e-07,360.0,0.0,10.0,3.940628375858067e-06,0.0,1.0941406298014813e-07,4.050042438838241e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #31,2026-02-21T23:33:17,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04189451318234205,1.7269524563288996e-08,4.1143588297474357e-07,360.0,0.0,10.0,4.267574474215504e-06,0.0,1.1849801521748323e-07,4.3860724894329624e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #32,2026-02-21T23:33:18,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04321351367980242,2.5755338058025373e-08,5.942778117749273e-07,360.0,171.39113533356849,10.0,4.349396843463183e-06,2.0711127675099306e-06,1.207694669978486e-07,6.5412790779710095e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #33,2026-02-21T23:33:18,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04255444370210171,1.7355816417383592e-08,4.060319169773734e-07,360.0,0.0,10.0,4.288899805396802e-06,0.0,1.190888824769189e-07,4.4079886878737044e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #34,2026-02-21T23:33:18,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04194791242480278,1.7803815373611022e-08,4.2295931702364607e-07,360.0,0.0,10.0,4.3996066786348834e-06,0.0,1.221637112191982e-07,4.521770389854076e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #35,2026-02-21T23:33:18,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.039885870181024075,2.3115732006408162e-08,5.759548448011545e-07,360.0,150.98074990892587,10.0,4.05657505616545e-06,1.7016680295967035e-06,1.1263516886780651e-07,5.870878254629933e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
